국가,확진자,사망자,완치,치명(%),완치(%),발생률
미국????,46771979,765722,36646900,1.6,78.4,141304
인도????,34260470,457773,33641175,1.3,98.2,24826
브라질????,21793401,607504,20986901,2.8,96.3,102529
영국????,8979236,140392,7290633,1.6,81.2,132269
러시아????,8472797,237380,7331424,2.8,86.5,58059
터키????,7985944,70207,7435318,0.9,93.1,94689
프랑스????,7153188,117649,6934871,1.6,96.9,109588
이란????,5909402,125998,5481737,2.1,92.8,70356
아르헨티나????,5287447,115935,5152539,2.2,97.4,116990
스페인????,5011148,87368,4864318,1.7,97.1,107179
콜롬비아????,4999048,127225,4842692,2.5,96.9,98246
이탈리아????,4762563,132037,4551882,2.8,95.6,78770
독일????,4577488,96176,4267500,2.1,93.2,54634
인도네시아????,4243215,143361,4087440,3.4,96.3,15513
멕시코????,3802287,287951,3163121,7.6,83.2,29490
폴란드????,3018100,76990,2702040,2.6,89.5,79746
남아프리카 공화국????,2921589,89151,2813781,3.1,96.3,49261
우크라이나????,2904872,67393,2430944,2.3,83.7,66422
필리핀????,2783896,43044,2693162,1.5,96.7,25405
말레이시아????,2460809,28832,2361919,1.2,96,76031
페루????,2199876,200197,N/A,9.1,N/A,66720
네덜란드????,2115938,18384,N/A,0.9,N/A,123487
이라크????,2053520,23111,1998559,1.1,97.3,51054
태국????,1903165,19158,1783875,1,93.7,27266
체코????,1757821,30736,1673347,1.7,95.2,164145
일본????*,1722715,18266,1696015,1.1,98.5,13621
캐나다????,1712125,28951,1657921,1.7,96.8,45364
칠레????,1690735,37729,1638077,2.2,96.9,88445
루마니아????,1628501,46911,1382322,2.9,84.9,84652
방글라데시????,1569162,27854,1532966,1.8,97.7,9528
벨기에????,1360650,25994,1214256,1.9,89.2,117402
이스라엘????,1326742,8085,1308942,0.6,98.7,153282
파키스탄????,1272345,28439,1220941,2.2,96,5760
스웨덴????,1171512,14991,N/A,1.3,N/A,116000
세르비아????,1131819,9826,995407,0.9,87.9,129538
포르투갈????,1088977,18153,1039284,1.7,95.4,106797
쿠바????,950613,8223,937955,0.9,98.7,83927
모로코????,945720,14660,926044,1.6,97.9,25622
카자흐스탄????,937691,12079,883822,1.3,94.3,49939
베트남????,910376,21966,816132,2.4,89.6,9353
스위스????,872556,11247,828031,1.3,94.9,100820
헝가리????,863419,30729,797910,3.6,92.4,89378
요르단????,859796,11016,828528,1.3,96.4,84268
오스트리아????,825297,11345,771155,1.4,93.4,91635
네팔????,811897,11388,790358,1.4,97.3,27865
아랍에미레이트????,739736,2136,733903,0.3,99.2,74793
그리스????,734778,15856,678085,2.2,92.3,70495
조지아????,715865,10003,655129,1.4,91.5,179452
튀니지????,712318,25231,685712,3.5,96.3,60271
레바논????,640675,8488,615121,1.3,96,93866
과테말라????,600419,14993,579018,2.5,96.4,33514
불가리아????,598199,23872,477530,4,79.8,86091
벨라루스????,596191,4596,569188,0.8,95.5,63094
코스타리카????,559698,7029,500425,1.3,89.4,109871
사우디아라비아????,548530,8790,537502,1.6,98,15756
스리랑카????,539416,13706,512165,2.5,94.9,25191
아제르바이잔????,526920,7021,490789,1.3,93.1,51969
에콰도르????,515859,32958,443880,6.4,86,29239
볼리비아????,512460,18915,474543,3.7,92.6,43901
미얀마????,498605,18644,464954,3.7,93.3,9164
슬로바키아????,479737,13018,422650,2.7,88.1,87870
파나마????,472398,7315,462900,1.5,98,109484
크로아티아????,462482,9168,429563,2,92.9,112656
파라과이????,460974,16245,444443,3.5,96.4,64630
아일랜드????,440665,5436,383229,1.2,87,89243
팔레스타인????,422981,4401,412909,1,97.6,82914
쿠웨이트????,412641,2461,409792,0.6,99.3,96624
리투아니아????,406095,5833,362839,1.4,89.3,149174
베네수엘라????,405445,4874,387988,1.2,95.7,14258
우루과이????,393454,6077,385215,1.5,97.9,113266
덴마크????,384580,2709,364764,0.7,94.8,66396
도미니카 공화국????,380215,4126,369867,1.1,97.3,35050
온두라스????,375381,10240,115886,2.7,30.9,37900
에티오피아????,364576,6437,339092,1.8,93,3171
대한민국????,362639,2830,334581,0.8,92.3,7073
몽골????,358208,1722,313256,0.5,87.5,109267
리비아????,356655,5078,295176,1.4,82.8,51905
몰도바????,335860,7665,313316,2.3,93.3,83258
슬로베니아????,334191,4739,302770,1.4,90.6,160751
이집트????,329136,18535,277233,5.6,84.2,3216
아르메니아????,306739,6284,267514,2,87.2,103515
오만????,304241,4111,299580,1.4,98.5,59578
바레인????,276749,1393,274863,0.5,99.3,162643
케냐????,253151,5273,246621,2.1,97.4,4708
보스니아 헤르체고비나????,252758,11495,192218,4.5,76,77041
카타르????,239051,610,237279,0.3,99.3,82973
라트비아????,214460,3198,175441,1.5,81.8,113700
나이지리아????,211798,2895,202962,1.4,95.8,1027
잠비아????,209702,3660,205931,1.7,98.2,11407
알제리????,206270,5913,141532,2.9,68.6,4704
노르웨이????,205855,900,88952,0.4,43.2,37972
북마케도니아????,201708,7108,188024,3.5,93.2,96818
싱가포르????,192099,380,158939,0.2,82.7,32836
에스토니아????,192092,1516,166751,0.8,86.8,144807
보츠와나????,186594,2406,182928,1.3,98,79347
우즈베키스탄????,185647,1321,181312,0.7,97.7,5547
알바니아????,184340,2909,173870,1.6,94.3,64056
키르기스스탄????,181186,2668,175568,1.5,96.9,27771
호주????,169379,1722,137672,1,81.3,6642
핀란드????,157531,1158,46000,0.7,29.2,28432
아프가니스탄????,156196,7269,128613,4.7,82.3,4012
모잠비크????,151270,1929,149209,1.3,98.6,4840
몬테네그로????,143322,2095,136766,1.5,95.4,228196
짐바브웨????,132926,4675,127608,3.5,96,8943
가나????,130077,1175,127121,0.9,97.7,4186
나미비아????,128886,3552,124565,2.8,96.6,50724
우간다????,126000,3210,96627,2.5,76.7,2755
키프로스????,122455,572,90755,0.5,74.1,101424
캄보디아????,118427,2781,114534,2.3,96.7,7083
엘살바도르????,113422,3613,94980,3.2,83.7,17487
코소보????,107507,2269,105323,2.1,98,59381
카메룬????,102499,1686,80433,1.6,78.5,3861
르완다????,99628,1328,45514,1.3,45.7,7692
중국????,97080,4636,91681,4.8,94.4,67
자메이카????,88775,2217,57551,2.5,64.8,29980
몰디브????,87487,243,85531,0.3,97.8,161850
룩셈부르크????,81683,843,78859,1,96.5,130489
세네갈????,73909,1878,72005,2.5,97.4,4414
앙골라????,64301,1707,53230,2.7,82.8,1956
말라위????,61789,2299,57288,3.7,92.7,3230
코트디부아르????,61271,692,59954,1.1,97.9,2323
콩고민주공화국????,57470,1091,50930,1.9,88.6,642
트리니다드 토바고????,56831,1674,50380,2.9,88.6,40608
레위니옹????,54668,374,53879,0.7,98.6,61060
과들루프????,54537,742,2250,1.4,4.1,136300
피지????,52141,674,49509,1.3,95,58164
수리남????,48899,1082,29468,2.2,60.3,83355
에스와티니????,46403,1242,45125,2.7,97.2,39997
프랑스령 기아나????,44554,306,9995,0.7,22.4,149169
마다가스카르????,42898,958,41322,2.2,96.3,1549
시리아????,42886,2550,26199,5.9,61.1,2451
마르티니크????,42634,670,104,1.6,0.2,113610
수단????,40238,3099,32905,7.7,81.8,918
프랑스령 폴리네시아????,40178,636,33500,1.6,83.4,143029
라오스????,38728,61,6558,0.2,16.9,5323
카보베르데????,38197,349,37667,0.9,98.6,68701
몰타 공화국????,37618,461,36560,1.2,97.2,85197
모리타니????,37222,794,35872,2.1,96.4,8005
가봉????,35525,239,28889,0.7,81.3,15961
가이아나????,35444,910,31633,2.6,89.2,45063
기니????,30653,385,29516,1.3,96.3,2334
파푸아뉴기니????,29108,367,26123,1.3,89.7,3253
벨리즈????,26798,491,23706,1.8,88.5,67395
탄자니아????,26154,725,0,2.8,-,438
토고????,26054,242,25511,0.9,97.9,3147
베냉????,24749,161,24346,0.7,98.4,2041
아이티????,23823,662,20286,2.8,85.2,2089
바하마????,22351,643,21079,2.9,94.3,56837
세이셸????,22177,119,21849,0.5,98.5,225497
레소토????,21628,658,12408,3,57.4,10096
소말리아????,21269,1180,9927,5.5,46.7,1338
마요트????,20555,185,2964,0.9,14.4,75344
부룬디????,20016,38,773,0.2,3.9,1683
동티모르????,19787,122,19618,0.6,99.1,15008
모리셔스????,17698,166,1854,0.9,10.5,13916
콩고공화국????,17323,258,12421,1.5,71.7,3139
바베이도스????,17151,151,10907,0.9,63.6,59682
