소장구분,유물명,한자명칭,국적/시대,용도
국립1-공주-공위공주대,土製壺,,한국-백제,식-음식기-저장운반
국립1-공주-공위공주대,土製有肩壺,,한국-백제,식-음식기-저장운반
국립1-공주-공위공주대,土製外反口緣壺,,한국-백제,식-음식기-저장운반
국립1-공주-공위공주대,土製短頸小壺,,한국-백제,식-음식기-저장운반
국립1-공주-공위공주대,土製甁,,한국-백제,식-음식기-음식
국립1-공주-공위공주대,土製深鉢,,한국-백제,식-음식기-음식
국립1-공주-공위공주대,土製直口短頸壺,,한국-백제,식-음식기-저장운반
국립1-공주-공위공주대,土製直口短頸小壺,,한국-백제,식-음식기-저장운반
국립1-공주-공위공주대,土製甁,,한국-백제,식-음식기-음식
국립1-공주-공위공주대,土製直口短頸壺,,한국-백제,식-음식기-저장운반
국립1-공주-공위공주대,土製短頸壺,,한국-백제,식-음식기-저장운반
국립1-공주-공위공주대,土製短頸廣口壺,,한국-백제,식-음식기-저장운반
국립1-공주-공위공주대,土製三足杯,,한국-백제,식-음식기-음식
국립1-공주-공위공주대,土製蓋,,한국-백제,식-음식기-음식
국립1-공주-공위공주대,土製蓋,,한국-백제,식-음식기-음식
국립1-공주-공위공주대,土製深鉢,,한국-백제,식-음식기-음식
국립1-공주-공위공주대,土製直口短頸壺,,한국-백제,식-음식기-저장운반
국립1-공주-공위공주대,土製甁,,한국-백제,식-음식기-음식
국립1-공주-공위공주대,土製廣口短經壺,,한국-백제,식-음식기-저장운반
국립1-공주-공위공주대,土製短頸壺,,한국-백제,식-음식기-저장운반
국립1-공주-공위공주대,土製三足杯,,한국-백제,식-음식기-음식
국립1-공주-공위공주대,土製三足杯,,한국-백제,식-음식기-음식
국립1-공주-공위공주대,土製三足杯,,한국-백제,식-음식기-음식
국립1-공주-공위공주대,土製三足杯,,한국-백제,식-음식기-음식
국립1-공주-공주,大通'銘 平瓦片,,한국-백제,주-건축부재-지붕재
국립1-공주-공주,蓮花文 瓦當,蓮花文 수막새,한국-백제,주-건축부재-지붕재
국립1-공주-공주,土製器臺,,한국-백제,사회생활-의례생활-상장
국립1-공주-공주,石佛光背,,한국-백제,종교신앙-불교-예배
국립1-공주-공주,石造 阿彌陀如來坐像,,한국-통일신라,종교신앙-불교-예배
국립1-공주-공주,白磁龍頭把手盞,,한국-조선,식-음식기-음식
국립1-공주-공주,土製兩耳附壺,,한국-백제,식-음식기-저장운반
국립1-공주-공주,磨製石劍,,한국-청동기,군사-근력무기-도검
국립1-공주-공주,粉靑沙器透刻鶴蓮唐草文頭枕,,한국-조선,주-생활용품-침구
국립1-공주-공주,銅鏡,,한국-고려,주-생활용품-화장구
국립1-공주-공주,土製有蓋壺,,한국-백제,식-음식기-저장운반
국립1-공주-공주,土製兩耳附壺,,한국-백제,식-음식기-저장운반
국립1-공주-공주,土製壺,,한국-백제,식-음식기-저장운반
국립1-공주-공주,靑銅製雙頭鈴,,한국-청동기,종교신앙-민간신앙-동신신앙
국립1-공주-공주,石熊,,한국-백제,문화예술-조각-동물조각
국립1-공주-공주,白磁墓誌,,한국-조선,사회생활-의례생활-상장
국립1-공주-공주,銅製金鼓,,한국-고려,종교신앙-불교-의식
국립1-공주-공주,金銅觀音菩薩立像,,한국-백제,종교신앙-불교-예배
국립1-공주-공주,石獸,鎭墓獸,한국-백제,사회생활-의례생활-상장
국립1-공주-공주,誌石(王妃),,한국-백제,사회생활-의례생활-상장
국립1-공주-공주,誌石(王),,한국-백제,사회생활-의례생활-상장
국립1-공주-공주,金銅製環頭大刀,,한국-백제,군사-근력무기-도검
국립1-공주-공주,金銀裝刀子,,한국-백제,군사-근력무기-도검
국립1-공주-공주,銀裝刀子,,한국-백제,군사-근력무기-도검
국립1-공주-공주,金銀裝刀子,,한국-백제,군사-근력무기-도검
국립1-공주-공주,足座,木製足座(王),한국-백제,사회생활-의례생활-상장
국립1-공주-공주,木製足座(王妃),,한국-백제,주-생활용품-침구
국립1-공주-공주,頭枕,,한국-백제,사회생활-의례생활-상장
국립1-공주-공주,頭枕,木製頭枕(왕비),한국-백제,사회생활-의례생활-상장
국립1-공주-공주,金製四葉形裝飾,,한국-백제,의-장신구-의복장식
국립1-공주-공주,金製花形裝飾,,한국-백제,의-장신구-신체장식
국립1-공주-공주,金製瓔珞附四角形裝飾,,한국-백제,의-장신구-
국립1-공주-공주,金製五角形裝飾,,한국-백제,의-장신구-
국립1-공주-공주,金製冠飾(王妃),,한국-백제,의-관모-관건식
국립1-공주-공주,金製垂飾附耳飾,,한국-백제,의-장신구-신체장식
국립1-공주-공주,金製耳飾(왕비),,한국-백제,의-장신구-신체장식
국립1-공주-공주,金製冠飾(王),,한국-백제,의-관모-관건식
국립1-공주-공주,金製心葉形耳飾,,한국-백제,의-장신구-신체장식
국립1-공주-공주,金製뒤꽂이,,한국-백제,의-장신구-신체장식
국립1-공주-공주,金製小珠,,한국-백제,의-장신구-
국립1-공주-공주,琉璃玉,,한국-백제,의-장신구-신체장식
국립1-공주-공주,嵌裝用金帽,,한국-백제,의-관모-모
국립1-공주-공주,金製九節頸飾,,한국-백제,의-장신구-신체장식
국립1-공주-공주,金製釧,,한국-백제,의-장신구-신체장식
국립1-공주-공주,銀製釧,,한국-백제,의-장신구-신체장식
국립1-공주-공주,金銀製釧,,한국-백제,의-장신구-신체장식
국립1-공주-공주,多利作'銘銀製釧,銀製釧,한국-백제,의-장신구-신체장식
국립1-공주-공주,金製瓔珞附小環,,한국-백제,의-장신구-신체장식
국립1-공주-공주,과판,,한국-백제,의-장신구-
국립1-공주-공주,王妃齒牙,,한국-백제,사회생활-의례생활-상장
국립1-공주-공주,金帽曲玉,,한국-백제,의-장신구-
국립1-공주-공주,硬玉製曲玉,,한국-백제,의-장신구-
국립1-공주-공주,琉璃製曲玉,,한국-백제,의-장신구-
국립1-공주-공주,琉璃製 練理管玉,,한국-백제,의-장신구-
국립1-공주-공주,琥珀製管玉,,한국-백제,의-장신구-
국립1-공주-공주,炭化木 獸形佩飾,,한국-백제,의-대/구-대
국립1-공주-공주,炭木棗玉,,한국-백제,의-장신구-
국립1-공주-공주,琉璃製 童子像,,한국-백제,의-장신구-
국립1-공주-공주,嵌金炭木製扁玉,,한국-백제,의-장신구-
국립1-공주-공주,銅製匙,,한국-백제,식-음식기-음식
국립1-공주-공주,靑銅箸,,한국-백제,식-음식기-음식
국립1-공주-공주,靑銅製,,한국-백제,식-음식기-음식
국립1-공주-공주,靑銅製,,한국-백제,식-음식기-음식
국립1-공주-공주,靑銅製鉢,,한국-백제,식-음식기-음식
국립1-공주-공주,銀製蓮花文托盞,,한국-백제,식-음식기-음식
국립1-공주-공주,銅製盞,,한국-백제,식-음식기-음식
국립1-공주-공주,靑銅盞,,한국-백제,식-음식기-음식
국립1-공주-공주,靑銅製斗,,한국-백제,주-생활용품-재봉구
국립1-공주-공주,靑銅製方格規矩神獸文鏡,靑銅神獸鏡,한국-백제,사회생활-의례생활-상장
국립1-공주-공주,靑銅製宜子孫獸帶鏡,,한국-백제,사회생활-의례생활-상장
국립1-공주-공주,靑銅製獸帶鏡,,한국-백제,사회생활-의례생활-상장
국립1-공주-공주,靑磁長頸四耳甁,,한국-백제,사회생활-의례생활-상장
국립1-공주-공주,靑磁六耳壺,,한국-백제,사회생활-의례생활-상장
국립1-공주-공주,靑磁六耳壺,,한국-백제,사회생활-의례생활-상장
국립1-공주-공주,白磁 盞,,한국-백제,사회생활-의례생활-상장
국립1-공주-공주,白磁 燈盞,,한국-백제,사회생활-의례생활-상장
국립1-공주-공주,銀製五角形 裝飾,,한국-백제,사회생활-의례생활-상장
국립1-공주-공주,五角形 銀製裝飾,,한국-백제,사회생활-의례생활-상장
국립1-공주-공주,銀製帶,,한국-백제,사회생활-의례생활-상장
국립1-공주-공주,金銀製腰佩,,한국-백제,사회생활-의례생활-상장
국립1-공주-공주,金銅銀製飾履(王),,한국-백제,사회생활-의례생활-상장
국립1-공주-공주,金銅銀製飾履,,한국-백제,사회생활-의례생활-상장
국립1-공주-공주,木製鳳凰頭,,한국-백제,사회생활-의례생활-상장
국립1-공주-공주,鐵製五銖錢,,한국-백제,산업/생업-상업-화폐
국립1-공주-공주,銅製二叉具,,한국-백제,사회생활-의례생활-상장
국립1-공주-공주,銀製花形裝飾,,한국-백제,사회생활-의례생활-상장
국립1-공주-공주,銀製菱形裝飾,,한국-백제,사회생활-의례생활-상장
국립1-공주-공주,銀製螺旋形裝飾,,한국-백제,사회생활-의례생활-상장
국립1-공주-공주,靑銅製接匙形容器,,한국-백제,사회생활-의례생활-상장
국립1-공주-공주,鐵矛,,한국-백제,사회생활-의례생활-상장
국립1-공주-공주,金製螺旋形裝飾,,한국-백제,사회생활-의례생활-상장
국립1-공주-공주,金製鋸齒形裝飾,,한국-백제,사회생활-의례생활-상장
국립1-공주-공주,金製葉形裝飾,,한국-백제,사회생활-의례생활-상장
국립1-공주-공주,金製菱形裝飾,,한국-백제,사회생활-의례생활-상장
국립1-공주-공주,長方形金製飾,,한국-백제,사회생활-의례생활-상장
국립1-공주-공주,黑漆銀金具,,한국-백제,사회생활-의례생활-상장
국립1-공주-공주,金製花形裝飾,,한국-백제,사회생활-의례생활-상장
국립1-공주-공주,金製瓔珞附圓形裝飾,,한국-백제,사회생활-의례생활-상장
국립1-공주-공주,金製花形裝飾,,한국-백제,사회생활-의례생활-상장
국립1-공주-공주,銀製花形圓頭棺釘,,한국-백제,사회생활-의례생활-상장
국립1-공주-공주,鐵製方頭形棺釘,,한국-백제,사회생활-의례생활-상장
국립1-공주-공주,銀製花形圓頭棺釘,,한국-백제,사회생활-의례생활-상장
국립1-공주-공주,관고리,,한국-백제,사회생활-의례생활-상장
국립1-공주-공주,銅製棺裝飾,,한국-백제,사회생활-의례생활-상장
국립1-공주-공주,銀製具,,한국-백제,사회생활-의례생활-상장
국립1-공주-공주,金製圓形裝飾,,한국-백제,사회생활-의례생활-상장
국립1-공주-공주,土製無文塼,,한국-백제,주-건축부재-벽/바닥재
국립1-공주-공주,銘文塼,,한국-백제,주-건축부재-벽/바닥재
국립1-공주-공주,"""士 壬辰年作"" 銘文塼",,한국-백제,주-건축부재-벽/바닥재
국립1-공주-공주,"""中方""銘文塼",,한국-백제,주-건축부재-벽/바닥재
국립1-공주-공주,文樣塼,,한국-백제,주-건축부재-벽/바닥재
국립1-공주-공주,蓮花菱格文塼,,한국-백제,주-건축부재-벽/바닥재
국립1-공주-공주,蓮花菱格文塼,,한국-백제,주-건축부재-벽/바닥재
국립1-공주-공주,五銖菱格子文塼,,한국-백제,주-건축부재-벽/바닥재
국립1-공주-공주,"""急使""銘斜格子文塼",,한국-백제,주-건축부재-벽/바닥재
국립1-공주-공주,"""中方""銘斜格子文塼",,한국-백제,주-건축부재-벽/바닥재
국립1-공주-공주,"""大方""銘文塼",,한국-백제,주-건축부재-벽/바닥재
국립1-공주-공주,土器壺,,한국-백제,식-음식기-저장운반
국립1-공주-공주,土製蓋,,한국-백제,식-음식기-음식
국립1-공주-공주,土製臺附長頸壺,,한국-통일신라,식-음식기-저장운반
국립1-공주-공주,土製高杯,,한국-백제,사회생활-의례생활-상장
